epoch, lr, avg_train_loss, avg_valid_loss, model_score
Epoch 1, 0.00000426, 3.50884366, 2.70050240, NA
Epoch 2, 0.00000505, 2.45381641, 2.27214837, -0.010360
Epoch 3, 0.00000635, 2.11914968, 2.04119968, NA
Epoch 4, 0.00000815, 1.93183708, 1.91111028, -0.006144
Epoch 5, 0.00001043, 1.80939436, 1.81564534, NA
Epoch 6, 0.00001317, 1.72460186, 1.73675799, -0.005798
Epoch 7, 0.00001633, 1.65900338, 1.67901230, NA
Epoch 8, 0.00001988, 1.60292828, 1.61564374, -0.005200
Epoch 9, 0.00002379, 1.55215907, 1.59026814, NA
Epoch 10, 0.00002800, 1.50461459, 1.59495389, -0.005526
Epoch 11, 0.00003248, 1.46371865, 1.59196663, NA
Epoch 12, 0.00003717, 1.41955864, 1.54932201, -0.004817
Epoch 13, 0.00004202, 1.37982249, 1.50460863, NA
Epoch 14, 0.00004698, 1.34262550, 1.50573099, -0.005265
Epoch 15, 0.00005200, 1.30149281, 1.50388372, NA
Epoch 16, 0.00005702, 1.25592148, 1.50874114, -0.005576
Epoch 17, 0.00006198, 1.21342814, 1.51887596, NA
Epoch 18, 0.00006683, 1.16589487, 1.52020848, -0.005628
Epoch 19, 0.00007152, 1.11459029, 1.56209791, NA
Epoch 20, 0.00007600, 1.06408155, 1.58848929, -0.005060
Epoch 21, 0.00008021, 1.00871122, 1.63139236, NA
Epoch 22, 0.00008412, 0.95250893, 1.64329088, -0.005198
Epoch 23, 0.00008767, 0.89724791, 1.72164512, NA
Epoch 24, 0.00009083, 0.84704173, 1.74650037, -0.005133
Epoch 25, 0.00009357, 0.79381800, 1.82812655, NA
Epoch 26, 0.00009585, 0.75419587, 1.90040040, -0.005421
Epoch 27, 0.00009765, 0.71575046, 1.93286765, NA
Epoch 28, 0.00009895, 0.67846161, 2.03299522, -0.005303
Epoch 29, 0.00009974, 0.64887178, 2.01234794, NA
Epoch 30, 0.00010000, 0.62488031, 2.09808469, -0.005377
Epoch 31, 0.00009995, 0.59315747, 2.17789102, NA
Epoch 32, 0.00009980, 0.57645243, 2.23429346, -0.004969
Epoch 33, 0.00009955, 0.55806220, 2.26978445, NA
Epoch 34, 0.00009920, 0.54265213, 2.34174991, -0.005079
Epoch 35, 0.00009875, 0.52800143, 2.36076927, NA
Epoch 36, 0.00009820, 0.51677859, 2.42563677, -0.005160
Epoch 37, 0.00009755, 0.50594562, 2.38833809, NA
Epoch 38, 0.00009681, 0.49584362, 2.46345091, -0.005332
Epoch 39, 0.00009598, 0.48605347, 2.50821114, NA
Epoch 40, 0.00009505, 0.48082215, 2.47609043, -0.005126
Epoch 41, 0.00009403, 0.47231352, 2.54851580, NA
Epoch 42, 0.00009292, 0.46241975, 2.55861068, -0.005264
Epoch 43, 0.00009173, 0.45651814, 2.51463127, NA
Epoch 44, 0.00009045, 0.44893953, 2.58142376, -0.005254
