epoch, lr, avg_train_loss, avg_valid_loss, model_score
Epoch 1, 0.00000426, 6.39538527, 4.95708466, NA
Epoch 2, 0.00000505, 4.35933352, 3.87513661, -0.045747
Epoch 3, 0.00000635, 3.61294961, 3.36006665, NA
Epoch 4, 0.00000815, 3.23912287, 3.09276271, -0.045149
Epoch 5, 0.00001043, 2.98814583, 2.91859674, NA
Epoch 6, 0.00001317, 2.74561310, 2.63706207, -0.049090
Epoch 7, 0.00001633, 2.49091482, 2.40568495, NA
Epoch 8, 0.00001988, 2.25473356, 2.22853923, -0.045040
Epoch 9, 0.00002379, 2.00099444, 1.99716222, NA
Epoch 10, 0.00002800, 1.75167334, 1.84166336, -0.032245
Epoch 11, 0.00003248, 1.51091540, 1.66512287, NA
Epoch 12, 0.00003717, 1.27012205, 1.46295118, -0.023051
Epoch 13, 0.00004202, 1.05549586, 1.34190977, NA
Epoch 14, 0.00004699, 0.87741286, 1.24924946, -0.009356
Epoch 15, 0.00005200, 0.74332112, 1.17741895, NA
Epoch 16, 0.00005702, 0.61350352, 1.11436498, -0.013819
Epoch 17, 0.00006198, 0.52813828, 1.06732297, NA
Epoch 18, 0.00006684, 0.45413044, 1.02486217, -0.005706
Epoch 19, 0.00007153, 0.40574554, 1.06381440, NA
Epoch 20, 0.00007600, 0.35677880, 1.05872369, -0.007242
Epoch 21, 0.00008022, 0.32241574, 1.04838407, NA
Epoch 22, 0.00008412, 0.29350731, 1.15178359, -0.012598
Epoch 23, 0.00008768, 0.27200425, 1.14890194, NA
Epoch 24, 0.00009084, 0.26160347, 1.08457315, -0.003884
Epoch 25, 0.00009357, 0.23670542, 1.08381748, NA
Epoch 26, 0.00009585, 0.22339664, 1.02255082, -0.012474
Epoch 27, 0.00009765, 0.20767263, 1.05015278, NA
Epoch 28, 0.00009895, 0.18810356, 1.06562150, -0.004846
Epoch 29, 0.00009974, 0.19977915, 1.01930642, NA
Epoch 30, 0.00010000, 0.18077707, 1.00029504, -0.004124
Epoch 31, 0.00009995, 0.16402103, 1.03212690, NA
Epoch 32, 0.00009980, 0.15674199, 1.13552189, -0.003035
Epoch 33, 0.00009955, 0.15304284, 0.99829304, NA
Epoch 34, 0.00009920, 0.14073093, 0.98255098, -0.008306
Epoch 35, 0.00009875, 0.14147560, 1.05080640, NA
Epoch 36, 0.00009820, 0.12642995, 1.03697932, -0.003123
Epoch 37, 0.00009755, 0.13193165, 1.01596045, NA
Epoch 38, 0.00009681, 0.11709752, 1.00593925, -0.003592
Epoch 39, 0.00009597, 0.11883133, 1.02940083, NA
Epoch 40, 0.00009505, 0.11116675, 0.95299739, -0.004721
Epoch 41, 0.00009403, 0.11370267, 0.95080811, NA
Epoch 42, 0.00009292, 0.10101900, 0.97846180, -0.003270
Epoch 43, 0.00009173, 0.09776739, 1.02473271, NA
Epoch 44, 0.00009045, 0.09953238, 1.11091864, -0.003091
Epoch 45, 0.00008909, 0.09116839, 0.99896038, NA
Epoch 46, 0.00008765, 0.09078003, 0.98906797, -0.003770
Epoch 47, 0.00008614, 0.08709425, 0.98111635, NA
Epoch 48, 0.00008455, 0.08082917, 0.96133631, -0.002896
Epoch 49, 0.00008289, 0.08769672, 1.00433254, NA
Epoch 50, 0.00008117, 0.08099257, 0.97927344, -0.002516
Epoch 51, 0.00007939, 0.07455558, 0.98191702, NA
Epoch 52, 0.00007754, 0.07679925, 0.99168670, 
